dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,193.516150,170.295268,147.105708,34.806607,-67.115983,21.848477,0.156276
0.020000,194.177931,170.396044,147.775118,33.470481,-66.806299,15.484184,0.145954
0.020000,194.814355,170.486368,148.417920,32.140089,-66.519563,14.336812,0.136006
0.020000,195.425359,170.567010,149.034222,30.815144,-66.247275,13.614421,0.126440
0.020000,196.010854,170.638710,149.624091,29.493444,-66.084969,8.115267,0.117263
0.020000,196.570793,170.702181,150.187616,28.176245,-65.859986,11.249141,0.108481
0.020000,197.105103,170.758107,150.724845,26.861454,-65.739516,6.023509,0.100098
0.020000,197.613726,170.807142,151.235826,25.549029,-65.621268,5.912399,0.092119
0.020000,198.096617,170.849908,151.720607,24.239073,-65.497800,6.173431,0.084547
0.020000,198.553692,170.886996,152.179184,22.928851,-65.511126,-0.666294,0.077383
0.020000,198.984931,170.918969,152.611607,21.621147,-65.385157,6.298405,0.070630
0.020000,199.390279,170.946355,153.017879,20.313580,-65.378366,0.339552,0.064288
0.020000,199.769693,170.969651,153.398008,19.006451,-65.356429,1.096862,0.058359
0.020000,200.123140,170.989323,153.752001,17.699675,-65.338833,0.879808,0.052841
0.020000,200.450561,171.005802,154.079837,16.391796,-65.393925,-2.754617,0.047736
0.020000,200.751943,171.019491,154.381530,15.084637,-65.357974,1.797574,0.043042
0.020000,201.027254,171.030758,154.657071,13.777039,-65.379905,-1.096534,0.038760
0.020000,201.276465,171.039939,154.906452,12.469043,-65.399781,-0.993809,0.034888
0.020000,201.499555,171.047338,155.129664,11.160630,-65.420675,-1.044718,0.031426
0.020000,201.696485,171.053228,155.326682,9.850871,-65.487949,-3.363690,0.028372
0.020000,201.867253,171.057848,155.497513,8.541563,-65.465397,1.127611,0.025727
0.020000,202.011843,171.061407,155.642146,7.231649,-65.495708,-1.515570,0.023490
0.020000,202.130236,171.064080,155.760570,5.921177,-65.523576,-1.393399,0.021659
0.020000,202.222433,171.066012,155.852787,4.610862,-65.515737,0.391941,0.020234
0.020000,202.288396,171.067313,155.918763,3.298788,-65.603721,-4.399179,0.019215
0.020000,202.328155,171.068065,155.958529,1.988325,-65.523169,4.027610,0.018601
0.020000,202.344863,171.068373,155.975240,0.835553,-57.638566,394.230133,0.018343
0.020000,202.348247,171.068435,155.978624,0.169198,-33.317780,1216.039271,0.018291
0.020000,202.348247,171.068435,155.978624,0.000000,-8.459880,1242.895046,0.018291
